,desc,location,logo,number,accident
500,北京现代鲁AP8L11与雪佛兰鲁AQY886事故无伤亡,机场北路遥墙中国邮政门口,"['北京', '现代', '雪佛兰']","['鲁AP8L11', '鲁AQY886']",未知
501,鲁sj0465对方是新车无伤,蟠龙隧道 北边 ,[],['鲁SJ0465'],未知
502,货车与大面包相撞人没事,回河济北驾校处,[],[],相撞
503,咨询,咨询,[],[],未知
504,AZ766D别克小区内被撞先协商,取消：党杨路大杨新区,['别克'],['鲁AZ766D'],相撞
505,面包车鲁AAA695与福特鲁A61K15发生刮擦无伤亡,经十东路 临港南区交叉口向西200米由西向东,['福特'],"['鲁AAA695', '鲁A61K15']",刮擦
506,行人与电动车事故人受伤备案26号下午事故,伟东新都一区东门往北30米左右,[],[],未知
507,鲁AT7968出租车与鲁AL1921大货车事故无人伤,济青高速郭店出口  收费站内   北向南,[],"['鲁AT7968', '鲁AL1921']",未知
508,SUV与轿车相撞人没事,正安路法路口,[],[],相撞
509,29号晚上五点左右电瓶车与轿车事故电瓶车受伤现在轿车一方不管了报警人说轿车报警了但一直没有交警处理,天桥区凤凰山路北头国棉一厂附近,[],[],未知
510,出租车和电瓶车事故,取消报警 山东剧院,[],[],未知
511,雪佛兰鲁S76755与鲁A932C8相撞私了,取消：经十路港九路南500米,['雪佛兰'],"['鲁S76755', '鲁A932C8']",相撞
512,鲁GU1307需要查询电话,山东剧院，文化西路117号院内,[],['鲁GU1307'],未知
513,出租车鲁AT0698和小货鲁AR1S82刮擦无伤亡车损超五千无法移动,二环西路美里路路口南向西方向,[],"['鲁AT0698', '鲁AR1S82']",刮擦
514,雪佛兰鲁AA25G2与货车鲁A788XD发生刮擦无伤亡,将军路由西向东去往机场路匝道口处,['雪佛兰'],"['鲁AA25G2', '鲁A788XD']",刮擦
515,公交车鲁AH1089与传奇鲁AHW258事故人没事,取消；济洛路与师范路往北50米,[],"['鲁AH1089', '鲁AHW258']",未知
516,鲁A735G0福特福克斯倒车撞上锐建鲁AY3D82后逃逸人没事,经十西路 润华汽车主题公园福特4S店,['福特'],"['鲁A735G0', '鲁AY3D82']",相撞
517,催警仲宫趵突泉酒厂门口往南50米左右,催警：仲宫趵突泉酒厂门口，往南50米左右,[],[],未知
518,备案吉利鲁R09X30和现代鲁G21806刮擦无伤亡,备案：环宇城九曲庄路路口南500米路东,['现代'],"['鲁R09X30', '鲁G21806']",刮擦
519,货车军车货车鲁AD6356无人员伤,二环西刘长山路口,[],['鲁AD6356'],未知
520,奔驰京NNR010在车位上被车撞了一方逃逸,和平路,['奔驰'],['京NNR010'],相撞
521,鲁A1961V银灰色凯美瑞和鲁A768A2灰色中华事故无伤亡,张庄路,['中华'],"['鲁A1961V', '鲁A768A2']",未知
522,面包车鲁A522M9与电动车刮擦无伤亡,国棉四厂门口,[],['鲁A522M9'],刮擦
523,2月2号大客车鲁AA5598与奇瑞鲁C09M71事故无伤亡现在责任不明确,机场北路与321省道往北200米加油站里面,['奇瑞'],"['鲁AA5598', '鲁C09M71']",未知
